Name,Contingent,Home Town,Type Name,Sports Name
Logan Aalders,New Brunswick,Fredericton,Athlete,Wheelchair Basketball
Michael Abgrall,British Columbia,Richmond,Athlete,Hockey
Jumana Abouelela,Nova Scotia,"Halifax, NS",Athlete,Squash
Rawan Abouelela,Nova Scotia,"Alexandria, Egypt",Athlete,Squash
Lyndsy Acheson,British Columbia,Summerland,Athlete,Hockey
Skylar Ackerman,Saskatchewan,Chamberlain,Athlete,Curling
Wren Acorn,Northwest Territories,,Athlete,Speed Skating
Avi Adam,Nova Scotia,"Wolfville, Nova Scotia",Athlete,Hockey
Jake Adams,Nova Scotia,Amherst NS,Athlete,Snowboard
Riley Adams,New Brunswick,Oromocto N.B.,Athlete,Speed Skating
Sawyer Adams,Yukon,Whitehorse,Athlete,Hockey
Matt Afaganis,Alberta,Calgary,Athlete,Alpine Skiing
Kostubh Agarwal,Manitoba,Winnipeg,Athlete,Squash
GHRANDOZZ AGUILAR,Saskatchewan,SWIFT CURRENT,Athlete,Judo
Rory Aiken,Prince Edward Island,Charlottetown,Athlete,Hockey
Michael Akbashev,Manitoba,,Athlete,Judo
Derrick Akeeagok,Nunavut,,Athlete,Badminton
Adel Akhmed,Ontario,Toronto,Athlete,Wheelchair Basketball
Eric Alarie,Manitoba,Winnipeg,Athlete,Hockey
Ethan Algra,British Columbia,Abottsford,Athlete,Biathlon
Nolan Allan,Saskatchewan,,Athlete,Hockey
Jeremy Allen,Nova Scotia,"Halifax, Nova Scotia",Athlete,Snowboard
Kyran Allen,Yukon,Whitehorse Yukon,Athlete,Freestyle Skiing
Spencer Allen,Alberta,Airdrie,Athlete,Alpine Skiing
Tysen Allen,Ontario,"Kitchener, ON",Athlete,Ringette
Tysen Almond,Northwest Territories,,Athlete,Hockey
Taylor Althouse,Alberta,"Lethbridge, Alberta",Athlete,Judo
Ashley Anaka,Saskatchewan,saskatoon,Athlete,Gymnastics
Gemma Andersen,Newfoundland and Labrador,Portugal Cove-St.Philips,Athlete,Artistic Swimming
Kevin Anderson,Saskatchewan,Regina,Athlete,Hockey
Wynne Anderson-Lindsay,Yukon,"Whitehorse, Yukon",Athlete,Hockey
Owen Angootealuk,Nunavut,Coral Harbour,Athlete,Hockey
Alexa Annecca,Ontario,"Barrie, ON",Athlete,Speed Skating
Ethan Anstey,Northwest Territories,Yellowknife,Athlete,Hockey
Brynn Applegath,British Columbia,"Kamloops, BC",Athlete,Alpine Skiing
Danielle Arbour,Newfoundland and Labrador,Goulds,Athlete,Wheelchair Basketball
Sam Archibald,Nova Scotia,"Debert, Nova Scotia",Athlete,Hockey
alexandre arencibia,Quebec,Montréal,Athlete,Judo
Danica Ariano,British Columbia,Coldstream,Athlete,Biathlon
Craig Armstrong,Alberta,Rockyview County,Athlete,Hockey
Julia Arnason,New Brunswick,New Maryland,Athlete,Artistic Swimming
Nicholas Arnold,Newfoundland and Labrador,"Drayton Valley, AB (CA)",Athlete,Wheelchair Basketball
Liam Arnsby,Ontario,"Ajax, Ontario",Athlete,Hockey
Joe Arntsen,Saskatchewan,Dinsmore,Athlete,Hockey
Lyra Eleftheria Arruda Kyriakidis,Nova Scotia,"Halifax, NS",Athlete,Speed Skating
Erik Arruda,Ontario,Caledon,Athlete,Gymnastics
Chris Arsenault,Yukon,"Whitehorse, Yukon",Athlete,Freestyle Skiing
Donovan George Arsenault,Prince Edward Island,Richmond,Athlete,Hockey
Ethan Dale Arsenault,Prince Edward Island,Rustico,Athlete,Gymnastics
Kristen Kathleen Arsenault,Prince Edward Island,Abrams VIllage,Athlete,Archery
